object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
entry	Cheesy	0	
orth	Cheesy	eng	
foreign	caséeux	fra	
entry	Chemical	0	
orth	Chemical	eng	
foreign	chimique	fra	
entry	Chemist	0	
orth	Chemist	eng	
foreign	chimiste	fra	
entry	Chemistry	0	
orth	Chemistry	eng	
foreign	chimie	fra	
entry	Cherry	0	
orth	Cherry	eng	
foreign	cerise	fra	
entry	Chest	0	
orth	Chest	eng	
foreign	thorax	fra	
entry	Chigoe	0	
orth	Chigoe	eng	
foreign	chique	fra	
entry	Chilblain	0	
orth	Chilblain	eng	
foreign	engelure	fra	
entry	Child-bed fever	0	
orth	Child-bed fever	eng	
foreign	fièvre puerpérale	fra	
entry	Chinwelk	0	
orth	Chinwelk	eng	
foreign	mentagre	fra	
entry	Chloride	0	
orth	Chloride	eng	
foreign	chlorure	fra	
entry	Chlorine	0	
orth	Chlorine	eng	
foreign	chlore	fra	
entry	Chloroform	0	
orth	Chloroform	eng	
foreign	chloroforme	fra	
entry	Chlorophyll	0	
orth	Chlorophyll	eng	
foreign	chlorophylle	fra	
entry	Chloruret	0	
orth	Chloruret	eng	
foreign	chlorure	fra	
entry	Choak	0	
orth	Choak	eng	
foreign	croup	fra	
entry	Chocolate	0	
orth	Chocolate	eng	
foreign	chocolat	fra	
entry	Cholera (malignant)	0	
orth	Cholera (malignant)	eng	
foreign	choléra asiatique	fra	
entry	Choleric	0	
orth	Choleric	eng	
foreign	cholérique	fra	
entry	Chord (testicular)	0	
orth	Chord (testicular)	eng	
foreign	cordon spermatique (le)	fra	
entry	Chordée	0	
orth	Chordée	eng	
foreign	chaudepisse cordée	fra	
entry	Choroid	0	
orth	Choroid	eng	
foreign	choroïde	fra	
entry	Chromatogenous	0	
orth	Chromatogenous	eng	
foreign	chromatogène	fra	
entry	Chronic	0	
orth	Chronic	eng	
foreign	chronique	fra	
entry	Chyliferous	0	
orth	Chyliferous	eng	
foreign	chylifère	fra	
entry	Chylous	0	
orth	Chylous	eng	
foreign	chyleux	fra	
entry	Cider	0	
orth	Cider	eng	
foreign	cidre	fra	
entry	Ciliary	0	
orth	Ciliary	eng	
foreign	ciliaire	fra	
entry	Cineritious	0	
orth	Cineritious	eng	
