object			
volume	37019	Capuron	1806
entry	Tibio-sous-phalangettien commun	0	
orth	Tibio-sous-phalangettien commun		
entry	Tibio-sous-tarsien	0	
orth	Tibio-sous-tarsien		
entry	Tibio-sus-tarsien	0	
orth	Tibio-sus-tarsien		
entry	Trachélo-mastoïdien	0	
orth	Trachélo-mastoïdien		
entry	Trachélo-occipital	0	
orth	Trachélo-occipital		
entry	Trachélo-scapulaire	0	
orth	Trachélo-scapulaire		
entry	Trifémoro-rotulien	0	
orth	Trifémoro-rotulien		
entry	Zygomato-maxillaire	0	
orth	Zygomato-maxillaire		
entry	Zygornato-auriculaire	0	
orth	Zygornato-auriculaire		
entry	Conduit gutturo auriculaire	0	
orth	Conduit gutturo auriculaire		
entry	Encéphale	0	
orth	Encéphale		
entry	Méningine	0	
orth	Méningine		
entry	Méningette	0	
orth	Méningette		
entry	Méninge	0	
orth	Méninge		
entry	Mésocéphale	0	
orth	Mésocéphale		
entry	Méso lobe	0	
orth	Méso lobe		
entry	Organes splanchniques	0	
orth	Organes splanchniques		
entry	Pédoncules du cerveau	0	
orth	Pédoncules du cerveau		
entry	Pédoncules du cervelet	0	
orth	Pédoncules du cervelet		
entry	Prolongement rachidien	0	
orth	Prolongement rachidien		
entry	Septum-stapbylin	0	
orth	Septum-stapbylin		
entry	Tonsills	0	
orth	Tonsills		
pb	445		
entry	Artéres cardiaques	0	
orth	Artéres cardiaques		
entry	Cérébrale antérieure	0	
orth	Cérébrale antérieure		
entry	Cérébrale posterieure	0	
orth	Cérébrale posterieure		
entry	Faciale	0	
orth	Faciale		
entry	Fémorale	0	
orth	Fémorale		
entry	Grande musculaire de la cuisse	0	
orth	Grande musculaire de la cuisse		
entry	Gutturo-maxillaire	0	
orth	Gutturo-maxillaire		
entry	Iliaque	0	
orth	Iliaque		
entry	Lobaires antérieure, moyenne	0	
orth	Lobaires antérieure, moyenne		
entry	Médiane du sacrum	0	
orth	Médiane du sacrum		
entry	Orbitaire	0	
orth	Orbitaire		
entry	Falato-labiale	0	
orth	Falato-labiale		
entry	Scapuïo-humérales	0	
orth	Scapuïo-humérales		
entry	Fcrotales	0	
orth	Fcrotales		
entry	Sous-pubio-fémorale	0	
orth	Sous-pubio-fémorale		
entry	Sous-sternale	0	
orth	Sous-sternale		
entry	Stomo-gastrique	0	
orth	Stomo-gastrique		
entry	Surrénales	0	
orth	Surrénales		
entry	Sus pubienne	0	
orth	Sus pubienne		
entry	Testiculaires	0	
orth	Testiculaires		
entry	Trachélo-cervicale	0	
orth	Trachélo-cervicale		
entry	Tronc céphaiique	0	
orth	Tronc céphaiique		
entry	Tronc opisto-gastrique	0	
orth	Tronc opisto-gastrique		
entry	Tronc pelvi-crural	0	
orth	Tronc pelvi-crural		
entry	Cave (veîne) thoracîque	0	
orth	Cave (veîne) thoracîque		
entry	Céphalique	0	
orth	Céphalique		
entry	Cave abdominale	0	
orth	Cave abdominale		
entry	Cérébrale antérieure	0	
