object			
orth	Amnios		
foreign	arnnium	lat	
pb	17		
entry	Amorphe	0	
orth	Amorphe		
foreign	informis	lat	
entry	Amphiarthrose	0	
orth	Amphiarthrose		
foreign	amplùarthxosis	lat	
foreign	d’àptfi	lat	
entry	Amphibie	0	
orth	Amphibie		
foreign	amphibius	lat	
entry	Amphibiolithe	0	
orth	Amphibiolithe		
entry	Amphiblestroïde	0	
orth	Amphiblestroïde		
foreign	amphiblestroïdes	lat	
foreign	retiformis/	lat	
entry	Amphibronchies	0	
orth	Amphibronchies		
entry	Amphisbène	0	
orth	Amphisbène		
foreign	amphdsbaena	lat	
foreign	eiPafiaQciuct	lat	
entry	Amphisciens	0	
orth	Amphisciens		
foreign	atnphiscii	lat	
entry	Amphismile	0	
orth	Amphismile		
foreign	Emotdéri	lat	
entry	Amphithéâtre	0	
orth	Amphithéâtre		
foreign	amphiiheatrunl	lat	
entry	Amphitrites	0	
orth	Amphitrites		
entry	Amplexicaule	0	
orth	Amplexicaule		
foreign	amplexicaulis	lat	
entry	Amplitude	0	
orth	Amplitude		
foreign	amplitudo	lat	
entry	Ampoule	0	
orth	Ampoule		
foreign	ampulla	lat	
clique	Esséra		
entry	Amputation	0	
orth	Amputation		
foreign	amputatio 9	lat	
entry	Amulette	0	
orth	Amulette		
foreign	amuletum	lat	
entry	Amygdales	0	
orth	Amygdales		
foreign	amygdalœ	lat	
entry	Amyntique	0	
orth	Amyntique		
foreign	amynticus	lat	
foreign	d'àpvlt»	lat	
entry	Anabrochisme	0	
orth	Anabrochisme		
foreign	anubrochisrnus	lat	
entry	Anabrose	1	
orth	Anabrose		
foreign	anabrosis	lat	
pb	18		
clique	Diabrose		
entry	Anacamptique	0	
orth	Anacamptique		
foreign	anacampticus	lat	
entry	Anacathartiques	0	
orth	Anacathartiques		
foreign	anacathartica	lat	
entry	Anaclastique	0	
orth	Anaclastique		
clique	Dioptrique		
entry	Anacollémates	0	
orth	Anacollémates		
foreign	anacollemata	lat	
entry	Anadose	0	
orth	Anadose		
foreign	anadosis	lat	
entry	Anadrome	0	
orth	Anadrome		
foreign	anadrome	lat	
entry	Anæmie, Anémie	0	
orth	Anæmie		
orth	Anémie		
foreign	anœrtiia	lat	
entry	Analême, Analemme	0	
orth	Analême		
orth	Analemme		
foreign	analemma	lat	
entry	Analepsie	0	
orth	Analepsie		
foreign	analepsis	lat	
entry	Analeptiques	0	
orth	Analeptiques		
foreign	analeptica	lat	
entry	Analogie	0	
orth	Analogie		
foreign	analogia	lat	
entry	Analogisme	0	
orth	Analogisme		
foreign	analogismus	lat	
entry	Analyse	0	
orth	Analyse		
foreign	analysis	lat	
entry	Anamnestique	0	
orth	Anamnestique		
foreign	anamnes^ ticus	lat	
entry	Anapétie	0	
orth	Anapétie		
foreign	anapetia	lat	
entry	Anaphonèse	0	
orth	Anaphonèse		
foreign	anapllonesis9	lat	
entry	Anaphrodisie	0	
orth	Anaphrodisie		
foreign	anophrodiÀ sia	lat	
pb	19		
entry	Anaphrodite	0	
orth	Anaphrodite		
entry	Anaplérose	0	
orth	Anaplérose		
foreign	anaplerosis	lat	
entry	Anaplérotiques	0	
orth	Anaplérotiques		
foreign	anaPlerotica	lat	
clique	Incarnatifs		
clique	Sarcotiques		
entry	Anasarque	0	
orth	Anasarque		
foreign	anasarca	lat	
entry	Anastaltiques	0	
orth	Anastaltiques		
foreign	anastaltica	lat	
entry	Anaspase	0	
orth	Anaspase		
foreign	anaspasis	lat	
entry	Anastase	0	
orth	Anastase		
foreign	anastasis	lat	
entry	Anastomose	0	
orth	Anastomose		
foreign	anastomosis	lat	
entry	Anastomotiques	0	
orth	Anastomotiques		
foreign	aIIastomotica	lat	
entry	Anatifère	0	
orth	Anatifère		
foreign	anatifer	lat	
entry	Anatifes	0	
orth	Anatifes		
foreign	anatifiex	lat	
foreign	dlanas	lat	
foreign	atis	lat	
entry	Anatomie	0	
orth	Anatomie		
foreign	anaiomia	lat	
entry	Anatomique	0	
orth	Anatomique		
foreign	anatomicus	lat	
entry	Anatomiste	0	
orth	Anatomiste		
foreign	alIatomicus prosector	lat	
entry	Anchilops	0	
orth	Anchilops		
foreign	anchilops	lat	
entry	Ancillaire	0	
orth	Ancillaire		
foreign	ancillaris	lat	
entry	Ancipité	0	
orth	Ancipité		
foreign	anceps	lat	
entry	Anconé	0	
orth	Anconé		
foreign	anconeus	lat	
entry	Ancylomèle	0	
orth	Ancylomèle		
entry	Ancylotome	0	
orth	Ancylotome		
entry	Ancyroïde	0	
orth	Ancyroïde		
foreign	ancyroïdes	lat	
entry	Andranatomie	0	
orth	Andranatomie		
foreign	andranatomia	lat	
clique	Androtomie		
clique	ΑVτκοροτοM.IE		
entry	Androgénie	0	
orth	Androgénie		
foreign	atidroge.nia	lat	
entry	Androgyne	0	
orth	Androgyne		
foreign	androgyna	lat	
entry	Androïde	1	
orth	Androïde		
foreign	androïdes	lat	
pb	20		
clique	Automate		
entry	Andromanie	0	
orth	Andromanie		
foreign	andromarlia	lat	
entry	Androtomie	0	
orth	Androtomie		
foreign	androtomia	lat	
entry	Anélectrique	0	
orth	Anélectrique		
foreign	a?Ielectricus	lat	
entry	Anémase, Anémie	0	
orth	Anémase		
orth	Anémie		
foreign	anœmasis	lat	
foreign	anœmia	lat	
entry	Anémographie	0	
orth	Anémographie		
foreign	anemographia	lat	
entry	Anémomètre	0	
orth	Anémomètre		
foreign	anemometrum	lat	
entry	Anémométrie	0	
orth	Anémométrie		
foreign	anemomeiria	lat	
entry	Anémoscope	0	
orth	Anémoscope		
foreign	anemosco piunl	lat	
entry	Anesthésie	0	
orth	Anesthésie		
foreign	anœsthesia	lat	
