object			
orth	Alcool		
orth	Alkol		
orth	Alcol		
entry	Alcol	0	
orth	Alcol	lat	
entry	Alcola	1	
orth	Alcola	lat	
pb	0030	0038	
clique	Aphtha. Alcola		
entry	Alcone	0	
orth	Alcone	lat	
entry	Alcor	0	
orth	Alcor	lat	
entry	Alcore	0	
orth	Alcore	lat	
entry	Alcuba	0	
orth	Alcuba	lat	
entry	Alcubrid	0	
orth	Alcubrid	lat	
entry	Alcyonia	0	
orth	Alcyonia	lat	
entry	Aldabaram	0	
orth	Aldabaram	lat	
entry	Alecharith	0	
orth	Alecharith	lat	
entry	Alechil	0	
orth	Alechil	lat	
entry	Alectorius	0	
orth	Alectorius	lat	
entry	Aleimma	0	
orth	Aleimma	lat	
entry	Aleion	0	
orth	Aleion	lat	
entry	Aleipha	0	
orth	Aleipha	lat	
entry	Alema	0	
orth	Alema	lat	
clique	Farina]		
entry	Alembic	0	
orth	Alembic	lat	
entry	Alembicus	0	
orth	Alembicus	lat	
entry	Alembroth	0	
orth	Alembroth	lat	
entry	Alenon	0	
orth	Alenon	lat	
entry	Aleore	0	
orth	Aleore	lat	
entry	Aleos	0	
orth	Aleos	lat	
entry	Ales	0	
orth	Ales	lat	
entry	Ales	0	
orth	Ales	lat	
entry	Aleuron	0	
orth	Aleuron	lat	
clique	Crefera		
pb	0031	0039	
entry	Alexandrinum	0	
orth	Alexandrinum	lat	
entry	Alexanthi	0	
orth	Alexanthi	lat	
entry	Alexasthae	0	
orth	Alexasthae	lat	
entry	Alexipharmaca, Alexiteria	0	
orth	Alexipharmaca	lat	
orth	Alexiteria		
entry	Alexipyretos	0	
orth	Alexipyretos	lat	
entry	Alexir	0	
orth	Alexir	lat	
entry	Alexiterium	0	
orth	Alexiterium	lat	
entry	Alezaram	0	
orth	Alezaram	lat	
entry	Alfacta	0	
orth	Alfacta	lat	
entry	Alfadinam	0	
orth	Alfadinam	lat	
entry	Alfatide	0	
orth	Alfatide	lat	
entry	Alfesera, Alphesera	0	
orth	Alfesera	lat	
orth	Alphesera		
entry	Alfoi	0	
orth	Alfoi	lat	
entry	Alfusa	0	
orth	Alfusa	lat	
entry	Aloali	0	
orth	Aloali	lat	
entry	Algamet	0	
orth	Algamet	lat	
entry	Algema, Algos	0	
orth	Algema	lat	
orth	Algos	lat	
clique	Dolor. CoiIs		
entry	Algerie	0	
orth	Algerie	lat	
entry	Algeroth	0	
