object			
volume	37019	Capuron	1806
foreign	anatomiste	fra	
entry	Anceps	0	
orth	Anceps	lat	
foreign	douteux	fra	
foreign	ancipité	fra	
entry	Anchœ os	0	
orth	Anchœ os	lat	
foreign	os de la hanche	fra	
entry	Anchilops	0	
orth	Anchilops	lat	
foreign	anchilops	fra	
entry	Ancillaris	0	
orth	Ancillaris	lat	
foreign	ancillaire	fra	
entry	Ancon	0	
orth	Ancon	lat	
foreign	olécrâne	fra	
entry	Anconeus	0	
orth	Anconeus	lat	
foreign	anconé	fra	
entry	Ancyle	0	
orth	Ancyle	lat	
foreign	ankylose	fra	
entry	Ancylosis	0	
orth	Ancylosis	lat	
foreign	ankylose	fra	
entry	Ancyroïdes	0	
orth	Ancyroïdes	lat	
foreign	ancyroïde	fra	
entry	Andranatome	0	
orth	Andranatome	lat	
foreign	andranatomie	fra	
entry	Androgenia	0	
orth	Androgenia	lat	
