object			
volume	37020d	Littré-Robin (1865-1873)	1873
entry	Acare, Acarus	0	
orth	Acare		
orth	Acarus		
foreign	Milbe	deu	
foreign	acarus	eng	
foreign	acaro	spa	
foreign	acaro	ita	
foreign	tarma	ita	
clique	Acariens		
term	Acare des follicules		
clique	Acare des follicules | Démodex		
term	Acare du fromage		
clique	Acare du fromage | Tyroglyphe		
term	Acare ou acarus de la gale		
clique	Acare ou acarus de la gale | Sarcopte		
entry	Acariasis	0	
orth	Acariasis		
entry	Acarien	0	
orth	Acarien		
clique	Ixodes		
clique	Gamasides		
clique	Oribatides		
clique	Cheylétides		
clique	Sarcoptides		
entry	Acaropse	0	
orth	Acaropse		
clique	cheylète		
entry	Acarotoxique	0	
orth	Acarotoxique		
entry	Acarpe	0	
orth	Acarpe		
foreign	acarpus	lat	
foreign	fruchtlos	deu	
foreign	ἄκαρπος	grc	
entry	Acarpellé	0	
orth	Acarpellé		
foreign	acarpellbus	eng	
entry	Acarus	0	
orth	Acarus		
clique	Acare		
clique	Sarcopte		
entry	Acatalepsie	0	
orth	Acatalepsie		
entry	Acatapose	0	
orth	Acatapose		
foreign	acatoposis	lat	
entry	Acatastatique	0	
orth	Acatastatique		
foreign	ἀκατάστατος	grc	
entry	Acatharsie	0	
orth	Acatharsie		
foreign	ἀκαθαρσία	grc	
entry	Acaudé	0	
orth	Acaudé		
foreign	acaudalus	lat	
foreign	acoccygeus	lat	
entry	Acaule	0	
orth	Acaule		
foreign	acaulis	lat	
entry	Acaweria	0	
orth	Acaweria		
foreign	Ophioxylum serpentinum (L.)	lat	
entry	Accablement	0	
orth	Accablement		
foreign	virium oppressio	lat	
foreign	Niedergeschlagenheit	deu	
foreign	heaviness	eng	
foreign	oppressione	ita	
foreign	aggrevamento	ita	
clique	rabattement		
entry	Accélérateur	0	
orth	Accélérateur		
foreign	beschleunigend	deu	
foreign	acelerador	spa	
term	Force accélératrice		
clique	Force accélératrice		
term	Accélérateur de l’urine		
clique	Accélérateur de l’urine | Bulbo-caverneux		
entry	Accélération	0	
orth	Accélération		
foreign	acceleratio	lat	
foreign	Beschleunigung	deu	
foreign	accélération	eng	
foreign	acceleramento	ita	
entry	Accès	1	
orth	Accès		
foreign	accessio	lat	
foreign	Anfall	deu	
foreign	a fit	eng	
foreign	accèss	eng	
foreign	accesso	ita	
foreign	acceso	spa	
foreign	παροξυσμὸς	grc	
pb	0010	0024	
term	Fièvre d’accès		
clique	Fièvre d’accès | Fièvre		
entry	Accessoire	0	
orth	Accessoire		
foreign	participer end	deu	
foreign	accessorium	deu	
foreign	accessory	eng	
foreign	accessories	eng	
foreign	accessorio	ita	
term	Accessoire du sacro-lombaire		
clique	Accessoire du sacro-lombaire		
term	Accessoire du long fléchisseur commun des orteils		
clique	Accessoire du long fléchisseur commun des orteils		
term	Accessoire du pancréas		
clique	Accessoire du pancréas | Glande | Pancréas | Glande de Brunner		
term	Éléments accessoires		
clique	Éléments accessoires | Élément		
term	Glande accessoire de la parotide		
clique	Glande accessoire de la parotide | Salive		
term	Nerf accessoire de Willis		
clique	Nerf accessoire de Willis | Spinal		
term	Nerf accessoire de Wrisberg		
clique	Nerf accessoire de Wrisberg		
term	Sciences accessoires		
clique	Sciences accessoires | Science | Science médicales		
entry	Accident	0	
orth	Accident		
foreign	accidens	lat	
foreign	Zufall	deu	
foreign	accident	eng	
foreign	accidenté	ita	
foreign	accidente	spa	
foreign	συμβεβηκὸς	grc	
term	Accidents Secondaires, tertiaires, consécutifs		
clique	Accidents Secondaires, tertiaires, consécutifs | Syphilis		
entry	Accidentalisme	0	
orth	Accidentalisme		
clique	Physiologisme		
entry	Accidentaliste	0	
orth	Accidentaliste		
term	Médecins accidentalistes		
clique	Médecins accidentalistes		
entry	Accidentel	0	
orth	Accidentel		
clique	Production		
entry	Acclimatation, Acclimatement	0	
orth	Acclimatation		
orth	Acclimatement		
foreign	Acclimatisation	deu	
foreign	acclimamento	ita	
term	Acclimatement		
clique	Acclimatement		
entry	Accombant	0	
orth	Accombant		
entry	Accommodatif	0	
orth	Accommodatif		
clique	accommodation		
entry	Accommodation	0	
orth	Accommodation		
term	Accommodation de l’œil		
clique	Accommodation de l’œil		
term	Accommodation de la tête fœtale		
clique	Accommodation de la tête fœtale | Accouchement		
entry	Accompagnement	1	
orth	Accompagnement		
term	Accompagnements de la cataracte		
clique	Accompagnements de la cataracte		
pb	0011	0025	
entry	Accord	0	
orth	Accord		
entry	Accouchement	1	
orth	Accouchement		
foreign	partus	lat	
foreign	Niederkunft	deu	
foreign	Geburt	deu	
foreign	midwifery	eng	
foreign	delivery	eng	
foreign	puerperio	ita	
foreign	pario	spa	
foreign	τόκος	grc	
pb	0012	0026	
clique	Ob		
clique	Ob		
clique	B		
clique	F		
term	Accouchements artificiels		
clique	Accouchements artificiels		
term	Accouchements contre nature		
clique	Accouchements contre nature		
term	Accouchement forcé		
clique	Accouchement forcé | Accouchement | Accouchement prématuré		
term	Accouchement gémellaire		
clique	Accouchement gémellaire		
term	Accouchements irréguliers		
clique	Accouchements irréguliers		
term	Accouchements laborieux		
clique	Accouchements laborieux		
term	Accouchements mixtes		
clique	Accouchements mixtes		
term	Accouchements naturels ou spontanés		
clique	Accouchements naturels ou spontanés		
term	Accouchements non naturels		
clique	Accouchements non naturels		
term	Accouchement physiologique		
clique	Accouchement physiologique		
term	Accouchements vicieux		
clique	Accouchements vicieux		
term	Accouchement prématuré		
clique	Accouchement prématuré		
clique	avortement provoqué		
clique	Avortement		
term	Maison d’accouchements		
clique	Maison d’accouchements | Maison		
entry	Accoucheur	0	
orth	Accoucheur		
foreign	adjutor parius	lat	
foreign	obstetricans	lat	
foreign	Geburtshelfer	deu	
entry	Accoucheuse	0	
orth	Accoucheuse		
foreign	obstetrix	lat	
foreign	Hebamme	deu	
foreign	midwife	eng	
foreign	levatrice	ita	
foreign	pariera	spa	
foreign	comadre	spa	
foreign	μαῖα	grc	
