page	refimg	chapitre
417	0416	Kerckring (Théodore) - Kern (Vincent) - Kerr (Thomas)
418	0417	Kerr (Thomas) - Kerstens (Jean-Chrétien) - Kersting (Jean-Adam)
419	0418	Kersting (Jean-Adam) - Kesler (Charles-Gottlob) - Kesler (Frédéric-Louis) - Kesselring (Jean-Henri) - Kestner (Chrétien-Guillaume)
420	0419	Kestner (Chrétien-Guillaume) - Ketelaer (Vincent)
421	0420	Ketham (Jean de) - Keufner (Jean) - Keup (Jean-Bernard) - Key (Jean)
422	0421	Key (Jean) - Kickx (Jean)
423	0422	Kielmaier (Charles-Frédéric) - Kieser (Dieteric-Georges) - Kiesewetter (Aloys-Ferdinand)
424	0423	Kiesewetter (Aloys-Ferdinand) - Kilian (Conrad-Joseph) - King (Edmond)
425	0424	King (Edmond) - Kircher (Athanase)
426	0425	Kircher (Athanase)
427	0426	Kircher (Athanase) - Kirchmaier (Georges-Gaspard)
428	0427	Kirchmaier (Georges-Gaspard) - Kirkland (Thomas)
429	0428	Kirkland (Thomas) - Kirsten (Georges) - Kirsten (Jean-Jacques)
430	0429	Kirsten (Jean-Jacques) - Kirsten (Michel)
431	0430	Kirsten (Michel) - Kirsten (Pierre)
432	0431	Kirsten (Pierre)
433	0432	Kirsten (Pierre) - Kirwan (Richard)
434	0433	Kirwan (Richard) - Kite (Charles) - Klaproth (Martin-Henri)
435	0434	Klaproth (Martin-Henri) - Klaunig (Godefroy) - Klebe (Frédéric-Albert) - Klein (Jacques -Théodore)
436	0435	Klein (Jacques -Théodore)
437	0436	Klein (Jacques -Théodore)
438	0437	Klein (Jacques -Théodore) - Kletten (Georges-Ernest) - Klinkosch (Joseph-Thaddée)
439	0438	Klinkosch (Joseph-Thaddée) - Kluyskens (Jean-François)
440	0439	Knackstedt (Christophe-Elie-Pierre) -  Knaut (Christophe) - Knauth (Chrétien)
441	0440	Knauth (Chrétien) - Knabe (Christophe) - Knebel (Emmanuel-Théophile)
442	0441	Kniphof (Jean-Jérôme) 
443	0442	Kniphof (Jean-Jérôme) - Knips (Alexandre) - Kober (Tobie) - Koch (Chrétien-Martin)
444	0443	Koch (Chrétien-Martin) - Koehler (Jean-Valentin-Henri) - Koelle (Jean-Louis-Chrétien)
445	0444	Koelle (Jean-Louis-Chrétien) - Koenig (Emmanuel) - Koenig (Emmanuel)
446	0445	Koenig (Emmanuel) - Koenig (Jean-Gérard) - Koelpin (Alexandre-Bernard)
447	0446	Koenig (Alexandre-Bernard) - Koelreuter (Joseph-Théophile)
448	0447	Koelreuter (Joseph-Théophile) - Koestlin (Charles-Henri) - Kohlhaas (Jean-Jacques)
