object			
volume	00152	De Gorris index (1601)	1601
orth	Ater succus	lat	
foreign	μελαγχολικὸς χυμός	grc	
entry	Athletica habitudo	0	
orth	Athletica habitudo	lat	
foreign	ἀθλητικὴ ἕξις	grc	
entry	Atra bilis	0	
orth	Atra bilis	lat	
foreign	μέλαινα χολή	grc	
entry	Atramentum metallicum	0	
orth	Atramentum metallicum	lat	
foreign	μελαντηρία	grc	
entry	Atramentum scriptorium	0	
orth	Atramentum scriptorium	lat	
foreign	μέλαν ᾧ γράφομεν	grc	
entry	Atramentum sutorium	0	
orth	Atramentum sutorium	lat	
foreign	χάλκανθος	grc	
entry	Atriplex	0	
orth	Atriplex	lat	
foreign	ἀτράφαξις	grc	
foreign	χρυσολάχανον	grc	
entry	Atriplex syluestris	0	
orth	Atriplex syluestris	lat	
foreign	κυνία	grc	
entry	Attenuantia	0	
orth	Attenuantia	lat	
foreign	λεπτύνοντα	grc	
entry	Attonitus morbus	0	
orth	Attonitus morbus	lat	
foreign	ἀποπληξία	grc	
entry	Attractrix facultas	0	
orth	Attractrix facultas	lat	
foreign	ἑλκτικὴ δύναμις	grc	
entry	Attrahaens medicamentum	0	
orth	Attrahaens medicamentum	lat	
foreign	ἐπισπαστικόν	grc	
entry	Attrahaentia medicamenta	0	
orth	Attrahaentia medicamenta	lat	
foreign	ἑλκτικά	grc	
entry	Auctio	0	
orth	Auctio	lat	
foreign	αὔξησις	grc	
entry	Auditus	0	
orth	Auditus	lat	
foreign	ἀκοή	grc	
entry	Auellana	0	
orth	Auellana	lat	
foreign	κάρυον ἡρακλειωτικόν	grc	
entry	Auena	0	
orth	Auena	lat	
foreign	βρόμος	grc	
entry	Augmentum	0	
orth	Augmentum	lat	
foreign	αὔξησις	grc	
entry	Auis lingua	0	
orth	Auis lingua	lat	
foreign	ὀρνεόγλωσσον	grc	
entry	Aurifusorium specillum	0	
orth	Aurifusorium specillum	lat	
foreign	ὠτειχύτης	grc	
entry	Auripigmentum	0	
orth	Auripigmentum	lat	
foreign	ἀρσενικόν	grc	
entry	Auris	0	
orth	Auris	lat	
foreign	οὖς	grc	
entry	Aurium dolor	0	
orth	Aurium dolor	lat	
foreign	ὠταλγία	grc	
entry	Auron	0	
orth	Auron	lat	
foreign	βρόμος	grc	
entry	Auster	0	
orth	Auster	lat	
foreign	νότος	grc	
entry	Austerum	0	
orth	Austerum	lat	
foreign	αὐστηρόν	grc	
entry	Autumnus	0	
orth	Autumnus	lat	
foreign	φθινόπωρον	grc	
entry	Axilla	0	
orth	Axilla	lat	
foreign	μασχαλίς	grc	
entry	Axillaris vena	0	
orth	Axillaris vena	lat	
foreign	μασχαλιαία φλέβς	grc	
entry	Axungia	0	
orth	Axungia	lat	
foreign	ἀξούγγιον	grc	
foreign	ὀξύγγιον	grc	
entry	Bacchar	0	
orth	Bacchar	lat	
foreign	ἄσαρον	grc	
entry	Balaustium	0	
orth	Balaustium	lat	
foreign	βαλαύστιον	grc	
entry	Balbuties	0	
orth	Balbuties	lat	
foreign	ψελλότης	grc	
entry	Ballaeria	0	
orth	Ballaeria	lat	
foreign	λυχνίς	grc	
entry	Balneum	0	
orth	Balneum	lat	
foreign	βαλανεῖον	grc	
entry	Balneum Mariae	0	
orth	Balneum Mariae	lat	
foreign	δίπλωμα	grc	
entry	Barba	0	
orth	Barba	lat	
foreign	πώγων	grc	
foreign	ὑπήνη	grc	
entry	Barba Dei	0	
orth	Barba Dei	lat	
foreign	γεροντοπώγων	grc	
entry	Barbotina	0	
orth	Barbotina	lat	
foreign	ἀψίνθιον	grc	
entry	Barbula hirci	0	
orth	Barbula hirci	lat	
foreign	κόμη τραγοπώγων	grc	
entry	Bdellii lacryma	0	
orth	Bdellii lacryma	lat	
foreign	ἁδρόβωλον	grc	
entry	Berberis	0	
orth	Berberis	lat	
foreign	ὀξυάκανθα	grc	
entry	Besasa	0	
orth	Besasa	lat	
foreign	μῶλυ	grc	
entry	Beta	0	
orth	Beta	lat	
foreign	τεῦτλον	grc	
entry	Betonica	0	
orth	Betonica	lat	
foreign	βρετανική	grc	
foreign	κέστρον	grc	
entry	Bezaar	0	
orth	Bezaar	lat	
entry	Bicorne	0	
orth	Bicorne	lat	
foreign	ὑοειδὲς ὀστοῦν	grc	
entry	Biera	0	
orth	Biera	lat	
foreign	βύνη	grc	
entry	Biliosi	0	
orth	Biliosi	lat	
foreign	πικρόχολος	grc	
entry	Bilis	0	
orth	Bilis	lat	
foreign	χολή	grc	
entry	Bilis amara	0	
orth	Bilis amara	lat	
foreign	πικρόχολος χυμός	grc	
entry	Bilis atra	0	
orth	Bilis atra	lat	
foreign	χολὴ μέλαινα	grc	
entry	Bilis pallida	0	
orth	Bilis pallida	lat	
foreign	πικρόχολος χυμός	grc	
entry	Bismalua	0	
orth	Bismalua	lat	
foreign	ἀλκέα	grc	
entry	Bistorta	0	
orth	Bistorta	lat	
foreign	βρετανικὴ	grc	
foreign	ἑπτάφυλλον	grc	
foreign	κατανάγκη	grc	
entry	Bitumen	0	
orth	Bitumen	lat	
foreign	ἄσφαλτος	grc	
foreign	πισσάσφαλτος	grc	
entry	Blaesitas	0	
orth	Blaesitas	lat	
foreign	τραυλότης	grc	
entry	Blaesus	0	
orth	Blaesus	lat	
foreign	βλαισσός	grc	
foreign	τραυλός	grc	
entry	Blitum	0	
orth	Blitum	lat	
foreign	βλίτον	grc	
foreign	ἰνόβλιτον	grc	
entry	Blitum syluestre	0	
orth	Blitum syluestre	lat	
foreign	κυνία	grc	
entry	Boaria herba	0	
orth	Boaria herba	lat	
foreign	βούφθαλμος	grc	
entry	Boletus	0	
orth	Boletus	lat	
foreign	βωλίτης	grc	
entry	Bonifacia	0	
orth	Bonifacia	lat	
foreign	δάφνη ἀλεξάνδρεια	grc	
entry	Borago	0	
orth	Borago	lat	
foreign	βουγλῶσσον	grc	
entry	Boreas	0	
orth	Boreas	lat	
foreign	βοῤῥᾶς	grc	
entry	Bosci saluia	0	
orth	Bosci saluia	lat	
foreign	πολεμώνιον	grc	
entry	Bouis oculus	0	
orth	Bouis oculus	lat	
foreign	βούφθαλμος	grc	
entry	Brachiale	0	
orth	Brachiale	lat	
foreign	κάρπος	grc	
entry	Brachium	0	
orth	Brachium	lat	
foreign	βραχίων	grc	
foreign	χείρ	grc	
entry	Branca vrsina	0	
orth	Branca vrsina	lat	
foreign	ἄκανθα	grc	
entry	Brassica	0	
orth	Brassica	lat	
foreign	κράμβη	grc	
entry	Brassica canina	0	
orth	Brassica canina	lat	
foreign	ἀπόκυνον	grc	
foreign	κυνοκράμβη	grc	
entry	Britanica	0	
orth	Britanica	lat	
foreign	βρετανική	grc	
entry	Bruscus	0	
orth	Bruscus	lat	
foreign	ὀξυμυρσίνη	grc	
entry	Bryaria	0	
orth	Bryaria	lat	
foreign	μυρίκη	grc	
entry	Bryonia	0	
orth	Bryonia	lat	
foreign	ἀμπελολεύκη	grc	
foreign	ἄμπελος μέλαινα	grc	
entry	Bucca	0	
orth	Bucca	lat	
foreign	γνάθος	grc	
entry	Buccella purgatoria	0	
orth	Buccella purgatoria	lat	
foreign	βουκέλατον	grc	
entry	Buccinum	0	
orth	Buccinum	lat	
foreign	δελφίνιον	grc	
entry	Buglossum	0	
orth	Buglossum	lat	
foreign	βούγλωσσον	grc	
foreign	νηπενθές	grc	
entry	Bulbus	0	
orth	Bulbus	lat	
foreign	βολβός	grc	
foreign	ἑρμοδάκτυλος	grc	
entry	Bulbus agrestis	0	
orth	Bulbus agrestis	lat	
foreign	ἐφήμερον	grc	
entry	Bulla	0	
orth	Bulla	lat	
foreign	πομφόλυξ	grc	
entry	Buprestis	0	
orth	Buprestis	lat	
foreign	βούπρηστις	grc	
entry	Burga spina	0	
orth	Burga spina	lat	
foreign	ῥάμνος	grc	
entry	Butyrum	0	
orth	Butyrum	lat	
foreign	βούτυρον	grc	
entry	Buxus	0	
orth	Buxus	lat	
foreign	πύξος	grc	
entry	Cabaret	0	
orth	Cabaret	lat	
foreign	ἄσαρον	grc	
entry	Cacabulum	0	
orth	Cacabulum	lat	
foreign	στρύχιον	grc	
entry	Cadmia	0	
orth	Cadmia	lat	
foreign	καδμία	grc	
