titre_cote	volume_cote	volume_annee	volume_soustitre	livanc
_extalfodarboval	extalfodarbovalx03	1838	Tome troisième	193312
_extalfodarboval	extalfodarbovalx04	1839	Tome quatrième	193313
_extalfodarboval	extalfodarbovalx05	1839	Tome cinquième	193314
_extalfodarboval	extalfodarbovalx06	1839	Tome sixième	193315
_extbnfbeaude	extbnfbeaudex01	1849	Tome I, [A-H]	3486
_extbnfbeaude	extbnfbeaudex02	1849	Tome II, [I-Z]	3487
_37029	37029x01	1850	Tome 1	2915
_37029	37029x02	1850	Tome 2	2947
_37029	37029x03	1850	Tome 3	2948
_37029	37029x04	1850	Tome 4	2949
_37029	37029x05	1850	Tome 5	2950
_37029	37029x06	1850	Tome 6	2951
_37029	37029x07	1850	Tome 7	2952
_37029	37029x08	1850	Tome 8	2953
_37029	37029xsup	1851	Supplément	2954
_34823	34823x01	1856	vol. 1 (A - AP)	9261
_34823	34823x02	1856	vol. 2 (APP - CAL)	9262
_34823	34823x03	1857	vol. 3 (CAN - CLA)	9263
_34823	34823x04	1858	vol. 4 (CLI - DIA)	9264
_34823	34823x05	1859	vol. 5 (DIA - ENC)	9265
_34823	34823x06	1860	vol. 6 (ENC - FES)	9266
_34823	34823x07	1862	vol. 7 (FIB - GAN)	9267
_34823	34823x08	1866	vol. 8 (GAN - HEL)	9268
_34823	34823x09	1871	vol. 9 (HEM - HYS)	9269
_34823	34823x10	1874	vol. 10 (ICH - JAR)	9270
_34823	34823x11	1880	vol. 11 (JAU - LEV)	9271
_34823	34823x12	1883	vol. 12 (LIG - MET)	9272
_34823	34823x13	1885	vol. 13 (MIA - MYX)	9273
_34823	34823x14	1887	vol. 14 (N - OE)	9274
_34823	34823x15	1888	vol. 15 (OI - PAR)	9275
_34823	34823x16	1888	vol. 16 (PAT - PER)	9276
_34823	34823x17	1889	vol. 17 (PES - POULS)	9277
_34823	34823x18	1890	vol. 18 (POU - RATION)	9278
_34823	34823x19	1891	vol. 19 (REC - SALERS)	9279
_34823	34823x20	1892	vol. 20 (SALIV - TEIGNES)	9280
_34823	34823x21	1892	vol. 21 (TENDONS - TUBERCULOSE)	9281
_34823	34823x22	1894	vol. 22 (TUMEURS - ZOOTECHNIE)	9282
_pharma_014236	pharma_014236x01	1859	Tome premier	47188
_pharma_014236	pharma_014236x02	1859	Tome deuxième	47189
_pharma_014236	pharma_014236x03	1859	Tome troisième	47190
_pharma_014236	pharma_014236x04	1859	Tome quatrième	47191
_pharma_014236	pharma_014236x05	1859	Tome cinquième	47192
_32923	32923x01	1864	Tome 1	2874
_32923	32923x02	1865	Tome 2	2875
_32923	32923x03	1865	Tome 3	2876
_32923	32923x04	1866	Tome 4	2877
_32923	32923x05	1866	Tome 5	2878
_32923	32923x06	1867	Tome 6	2879
_32923	32923x07	1867	Tome 7	2880
_32923	32923x08	1868	Tome 8	2881
_32923	32923x09	1869	Tome 9	2882
_32923	32923x10	1869	Tome 10	2883
_32923	32923x11	1869	Tome 11	2884
_32923	32923x12	1870	Tome 12	2885
_32923	32923x13	1870	Tome 13	2886
_32923	32923x14	1871	Tome 14	2887
_32923	32923x15	1872	Tome 15	2888
_32923	32923x16	1872	Tome 16	2889
_32923	32923x17	1873	Tome 17	2890
_32923	32923x18	1874	Tome 18	2891
_32923	32923x19	1874	Tome 19	2892
_32923	32923x20	1875	Tome 20	2893
_32923	32923x21	1875	Tome 21	2894
_32923	32923x22	1876	Tome 22	2895
_32923	32923x23	1877	Tome 23	2896
_32923	32923x24	1877	Tome 24	2897
_32923	32923x25	1878	Tome 25	2898
_32923	32923x26	1878	Tome 26	2899
_32923	32923x27	1879	Tome 27	2900
_32923	32923x28	1880	Tome 28	2901
_32923	32923x29	1880	Tome 29	2902
_32923	32923x30	1881	Tome 30	2903
_32923	32923x31	1882	Tome 31	2904
_32923	32923x32	1882	Tome 32	2905
_32923	32923x33	1882	Tome 33	2906
_32923	32923x34	1883	Tome 34	2907
_32923	32923x35	1883	Tome 35	2908
_32923	32923x36	1884	Tome 36	2909
_32923	32923x37	1885	Tome 37	2910
_32923	32923x38	1885	Tome 38	2911
_32923	32923x39	1886	Tome 39	2912
_32923	32923x40	1886	Tome 40. suppl	2913
_extbnfdechambre	extbnfdechambrex001	1864	[série 1], tome 1, A - ADE	3489
_extbnfdechambre	extbnfdechambrex002	1865	[série 1], tome 2, ADH - ALG	3490
_extbnfdechambre	extbnfdechambrex003	1869	[série 1], tome 3 , ALH - AMP	3491
_extbnfdechambre	extbnfdechambrex004	1870	[série 1], tome 4, AMP - ANG	3492
_extbnfdechambre	extbnfdechambrex005	1870	[série 1], tome 5, ANG - ARB	3493
_extbnfdechambre	extbnfdechambrex006	1876	[série 1], tome 6, ARB - AST	3494
_extbnfdechambre	extbnfdechambrex007	1876	[série 1], tome 7, AST - AZZ	3495
_extbnfdechambre	extbnfdechambrex008	1876	[série 1], tome 8 , BAA - BEI	3496
_extbnfdechambre	extbnfdechambrex009	1868	[série 1], tome 9 , BEJ - BLE	3497
_extbnfdechambre	extbnfdechambrex010	1869	[série 1], tome 10, BLE - BRO	3498
_extbnfdechambre	extbnfdechambrex011	1870	[série 1], tome 11, BRO - CAM	3499
_extbnfdechambre	extbnfdechambrex012	1874	[série 1], tome 12, CAM - CAS	3500
_extbnfdechambre	extbnfdechambrex013	1874	[série 1], tome 13, CAS - CEP	3501
_extbnfdechambre	extbnfdechambrex014	1873	[série 1], tome 14 , CEP - CHA	3502
_extbnfdechambre	extbnfdechambrex015	1874	série 1 , tome 15, CHA - CHE	3503
_extbnfdechambre	extbnfdechambrex016	1874	série 1 , tome 16, CHI - CHO	3504
_extbnfdechambre	extbnfdechambrex017	1875	série 1 , tome 17, CHO - CLE	3505
_extbnfdechambre	extbnfdechambrex018	1876	série 1 , tome 18, CLE - COL	3506
_extbnfdechambre	extbnfdechambrex019	1876	série 1 , tome 19, COL - CON	3507
_extbnfdechambre	extbnfdechambrex020	1877	série 1 , tome 20, CON - COR	3508
_extbnfdechambre	extbnfdechambrex021	1878	série 1 , tome 21, COR - COU	3509
_extbnfdechambre	extbnfdechambrex022	1879	série 1 , tome 22, COU - CRE	3510
_extbnfdechambre	extbnfdechambrex023	1879	série 1 , tome 23, CRE - CRU	3511
_extbnfdechambre	extbnfdechambrex024	1880	série 1 , tome 24, CRU - CYS	3512
_extbnfdechambre	extbnfdechambrex025	1880	série 1 , tome 25, CYS - DAT	3513
_extbnfdechambre	extbnfdechambrex026	1882	série 1 , tome 26, DAT - DEN	3514
_extbnfdechambre	extbnfdechambrex027	1882	série 1 , tome 27, DEN - DER	3515
_extbnfdechambre	extbnfdechambrex028	1883	série 1 , tome 28, DER - DIA	3516
_extbnfdechambre	extbnfdechambrex029	1884	série 1 , tome 29, DIA - DIU	3517
