object			
volume	00152	Des Gorris (1601)	1601
orth	Cabaret	lat	
foreign	ἀδορον	grc	
entry	Cacabulum	0	
orth	Cacabulum	lat	
foreign	σρυγιον	grc	
entry	Cadmia	0	
orth	Cadmia	lat	
foreign	καδμία	grc	
entry	Cadus	0	
orth	Cadus	lat	
foreign	ἀμφρρευς	grc	
foreign	κεράμιον	grc	
foreign	μετρητὴς	grc	
entry	Calamenthum	0	
orth	Calamenthum	lat	
foreign	ναλαμντη	grc	
entry	Calamintha	0	
orth	Calamintha	lat	
foreign	καλάμέντη	grc	
entry	Calamus odoratus	0	
orth	Calamus odoratus	lat	
foreign	κὰλαμος ἀρωματικός	grc	
entry	Calamus vnguentarius	0	
orth	Calamus vnguentarius	lat	
foreign	καλαμος ἀρωματικος	grc	
entry	Calcatrepa	0	
orth	Calcatrepa	lat	
foreign	ἄκανες	grc	
entry	Calculi morbus	0	
orth	Calculi morbus	lat	
foreign	λβιασις	grc	
entry	Calculus	0	
orth	Calculus	lat	
foreign	στιον	grc	
entry	Calidum	0	
orth	Calidum	lat	
foreign	θερμὸν	grc	
entry	Caligo oculi	0	
orth	Caligo oculi	lat	
foreign	ἄχλυς	grc	
entry	Callositas palpebrae	0	
orth	Callositas palpebrae	lat	
foreign	πκωσι	grc	
entry	Callosum	0	
orth	Callosum	lat	
foreign	τολοριδὲς	grc	
entry	Callus	0	
orth	Callus	lat	
foreign	πῶρος	grc	
entry	Caluaria	0	
orth	Caluaria	lat	
foreign	κρανίον	grc	
entry	Caluariae fractura	0	
orth	Caluariae fractura	lat	
foreign	ἐσωυε	grc	
entry	Caluitium	0	
orth	Caluitium	lat	
foreign	φαλακρότης	grc	
entry	Calx	0	
orth	Calx	lat	
foreign	ἀσρεστος	grc	
foreign	κονια	grc	
foreign	πτέρνη	grc	
entry	Camelina	0	
orth	Camelina	lat	
foreign	μαλάμπυρον	grc	
entry	Camomilla	0	
orth	Camomilla	lat	
foreign	ἀνθεμὶς	grc	
entry	Camphora	0	
orth	Camphora	lat	
foreign	κάσυρα	grc	
entry	Canalis	0	
orth	Canalis	lat	
foreign	σωλὴν	grc	
entry	Cancer	0	
orth	Cancer	lat	
foreign	καρκῖνος	grc	
foreign	καρκίνωμα	grc	
entry	Cania vrtica	0	
orth	Cania vrtica	lat	
foreign	ἀκαλήοη	grc	
entry	Caniculae sydus	0	
orth	Caniculae sydus	lat	
foreign	κύων	grc	
entry	Canina conuulsio	0	
