object			
volume	07399	Castelli	1746
orth	Alcali		
entry	Alcaol	0	
orth	Alcaol		
entry	Alcar	0	
orth	Alcar		
ref	Faës.p.		
entry	Alce	0	
orth	Alce		
entry	Alcebris	0	
orth	Alcebris		
entry	Alcedo	0	
orth	Alcedo		
entry	Alcharit	0	
orth	Alcharit		
entry	Alchazonon	0	
orth	Alchazonon		
entry	Alchemia	0	
orth	Alchemia		
entry	Alchien	0	
orth	Alchien		
entry	Alchitrum	0	
orth	Alchitrum		
entry	Alchymia	0	
orth	Alchymia		
entry	Alchytran	0	
orth	Alchytran		
entry	Alcimad	0	
orth	Alcimad		
entry	Alcob	0	
orth	Alcob		
entry	Alcofol	0	
orth	Alcofol		
entry	Alcohol	0	
orth	Alcohol		
entry	Alcol	0	
orth	Alcol		
entry	Alcola	1	
orth	Alcola		
pb	0030	0038	
ref	Aphtha. Alcola		
entry	Alcone	0	
orth	Alcone		
entry	Alcor	0	
orth	Alcor		
entry	Alcore	0	
orth	Alcore		
entry	Alcuba	0	
orth	Alcuba		
entry	Alcubrid	0	
orth	Alcubrid		
entry	Alcyonia	0	
orth	Alcyonia		
entry	Aldabaram	0	
orth	Aldabaram		
entry	Alecharith	0	
orth	Alecharith		
entry	Alechil	0	
orth	Alechil		
entry	Alectorius	0	
orth	Alectorius		
entry	Aleimma	0	
orth	Aleimma		
entry	Aleion	0	
orth	Aleion		
entry	Aleipha	0	
orth	Aleipha		
entry	Alema	0	
orth	Alema		
ref	Farina]		
entry	Alembic	0	
orth	Alembic		
entry	Alembicus	0	
orth	Alembicus		
entry	Alembroth	0	
orth	Alembroth		
entry	Alenon	0	
orth	Alenon		
entry	Aleore	0	
orth	Aleore		
entry	Aleos	0	
orth	Aleos		
entry	Ales	0	
orth	Ales		
entry	Ales	0	
orth	Ales		
entry	Aleuron	0	
orth	Aleuron		
ref	Crefera.		
pb	0031	0039	
entry	Alexandrinum	0	
orth	Alexandrinum		
entry	Alexanthi	0	
orth	Alexanthi		
entry	Alexasthae	0	
orth	Alexasthae		
entry	Alexipharmaca	0	
orth	Alexipharmaca		
entry	Alexipyretos	0	
orth	Alexipyretos		
entry	Alexir	0	
orth	Alexir		
entry	Alexiterium	0	
orth	Alexiterium		
entry	Alezaram	0	
orth	Alezaram		
entry	Alfacta	0	
orth	Alfacta		
entry	Alfadinam	0	
orth	Alfadinam		
entry	Alfatide	0	
orth	Alfatide		
entry	Alfesera	0	
orth	Alfesera		
entry	Alfoi	0	
orth	Alfoi		
entry	Alfusa	0	
orth	Alfusa		
entry	Aloali	0	
orth	Aloali		
entry	Algamet	0	
orth	Algamet		
entry	Algema	0	
orth	Algema		
ref	Dolor. CoiIs.		
entry	Algerie	0	
